Epi_week,Category,OROV_INC
2015_30,Rural,0
2015_30,Urban,0
2015_31,National,0.001477245
2015_31,Rural,0
2015_31,Urban,0.001690061
2015_32,National,0.001477245
2015_32,Rural,0
2015_32,Urban,0.001690061
2015_33,National,0
2015_33,Rural,0
2015_33,Urban,0
2015_34,National,0
2015_34,Rural,0
2015_34,Urban,0
2015_35,National,0.000492415
2015_35,Rural,0
2015_35,Urban,0.000563354
2015_36,National,0.000492415
2015_36,Rural,0.003910475
2015_36,Urban,0
2015_37,National,0.000492415
2015_37,Rural,0
2015_37,Urban,0.000563354
2015_38,National,0.00098483
2015_38,Rural,0.007820951
2015_38,Urban,0
2015_39,National,0
2015_39,Rural,0
2015_39,Urban,0
2015_40,National,0.00098483
2015_40,Rural,0.003910475
2015_40,Urban,0.000563354
2015_41,National,0
2015_41,Rural,0
2015_41,Urban,0
2015_42,National,0
2015_42,Rural,0
2015_42,Urban,0
2015_43,National,0
2015_43,Rural,0
2015_43,Urban,0
2015_44,National,0
2015_44,Rural,0
2015_44,Urban,0
2015_45,National,0.00098483
2015_45,Rural,0.007820951
2015_45,Urban,0
2015_46,National,0.000492415
2015_46,Rural,0
2015_46,Urban,0.000563354
2015_47,National,0
2015_47,Rural,0
2015_47,Urban,0
2015_48,National,0
2015_48,Rural,0
2015_48,Urban,0
2015_49,National,0
2015_49,Rural,0
2015_49,Urban,0
2015_50,National,0
2015_50,Rural,0
2015_50,Urban,0
2015_51,National,0
2015_51,Rural,0
2015_51,Urban,0
2015_52,National,0
2015_52,Rural,0
2015_52,Urban,0
2016_01,National,0
2016_01,Rural,0
2016_01,Urban,0
2016_02,National,0
2016_02,Rural,0
2016_02,Urban,0
2016_03,National,0
2016_03,Rural,0
2016_03,Urban,0
2016_04,National,0
2016_04,Rural,0
2016_04,Urban,0
2016_05,National,0
2016_05,Rural,0
2016_05,Urban,0
2016_06,National,0
2016_06,Rural,0
2016_06,Urban,0
2016_07,National,0
2016_07,Rural,0
2016_07,Urban,0
2016_08,National,0.00098483
2016_08,Rural,0.003910475
2016_08,Urban,0.000563354
2016_09,National,0
2016_09,Rural,0
2016_09,Urban,0
2016_10,National,0.000492415
2016_10,Rural,0.003910475
2016_10,Urban,0
2016_11,National,0.000492415
2016_11,Rural,0
2016_11,Urban,0.000563354
2016_12,National,0.00196966
2016_12,Rural,0.007820951
2016_12,Urban,0.001126707
2016_13,National,0.000492415
2016_13,Rural,0
2016_13,Urban,0.000563354
2016_14,National,0
2016_14,Rural,0
2016_14,Urban,0
2016_15,National,0.000492415
2016_15,Rural,0
2016_15,Urban,0.000563354
2016_16,National,0.000492415
2016_16,Rural,0
2016_16,Urban,0.000563354
2016_17,National,0.00098483
2016_17,Rural,0
2016_17,Urban,0.001126707
2016_18,National,0
2016_18,Rural,0
2016_18,Urban,0
2016_19,National,0
2016_19,Rural,0
2016_19,Urban,0
2016_20,National,0.000492415
2016_20,Rural,0
2016_20,Urban,0.000563354
2016_21,National,0
2016_21,Rural,0
2016_21,Urban,0
2016_22,National,0
2016_22,Rural,0
2016_22,Urban,0
2016_23,National,0.00196966
2016_23,Rural,0.007820951
2016_23,Urban,0.001126707
2016_24,National,0
2016_24,Rural,0
2016_24,Urban,0
2016_25,National,0.002462075
2016_25,Rural,0.003910475
2016_25,Urban,0.002253414
2016_26,National,0
2016_26,Rural,0
2016_26,Urban,0
2016_27,National,0.000492415
2016_27,Rural,0
2016_27,Urban,0.000563354
2016_28,National,0
2016_28,Rural,0
2016_28,Urban,0
2016_29,National,0.000492415
2016_29,Rural,0
2016_29,Urban,0.000563354
2016_30,National,0.008371054
2016_30,Rural,0.06647808
2016_30,Urban,0
2016_31,National,0
2016_31,Rural,0
2016_31,Urban,0
2016_32,National,0.000492415
2016_32,Rural,0.003910475
2016_32,Urban,0
2016_33,National,0.00393932
2016_33,Rural,0.003910475
2016_33,Urban,0.003943475
2016_34,National,0.001477245
2016_34,Rural,0.011731426
2016_34,Urban,0
2016_35,National,0.001477245
2016_35,Rural,0.007820951
2016_35,Urban,0.000563354
2016_36,National,0.000492415
2016_36,Rural,0
2016_36,Urban,0.000563354
2016_37,National,0.000492415
2016_37,Rural,0
2016_37,Urban,0.000563354
2016_38,National,0.001477245
2016_38,Rural,0
2016_38,Urban,0.001690061
2016_39,National,0.000492415
2016_39,Rural,0
2016_39,Urban,0.000563354
2016_40,National,0.000492415
2016_40,Rural,0
2016_40,Urban,0.000563354
2016_41,National,0
2016_41,Rural,0
2016_41,Urban,0
2016_42,National,0
2016_42,Rural,0
2016_42,Urban,0
2016_43,National,0
2016_43,Rural,0
2016_43,Urban,0
2016_44,National,0.000492415
2016_44,Rural,0
2016_44,Urban,0.000563354
2016_45,National,0
2016_45,Rural,0
2016_45,Urban,0
2016_46,National,0
2016_46,Rural,0
2016_46,Urban,0
2016_47,National,0.00098483
2016_47,Rural,0
2016_47,Urban,0.001126707
2016_48,National,0.000492415
2016_48,Rural,0
2016_48,Urban,0.000563354
2016_49,National,0
2016_49,Rural,0
2016_49,Urban,0
2016_50,National,0
2016_50,Rural,0
2016_50,Urban,0
2016_51,National,0
2016_51,Rural,0
2016_51,Urban,0
2016_52,National,0
2016_52,Rural,0
2016_52,Urban,0
2017_01,National,0
2017_01,Rural,0
2017_01,Urban,0
2017_02,National,0.00098483
2017_02,Rural,0
2017_02,Urban,0.001126707
2017_03,National,0.000492415
2017_03,Rural,0
2017_03,Urban,0.000563354
2017_04,National,0
2017_04,Rural,0
2017_04,Urban,0
2017_05,National,0
2017_05,Rural,0
2017_05,Urban,0
2017_06,National,0
2017_06,Rural,0
2017_06,Urban,0
2017_07,National,0
2017_07,Rural,0
2017_07,Urban,0
2017_08,National,0.000492415
2017_08,Rural,0
2017_08,Urban,0.000563354
2017_09,National,0
2017_09,Rural,0
2017_09,Urban,0
2017_10,National,0.000492415
2017_10,Rural,0.003910475
2017_10,Urban,0
