"AgeGroup","Sex","INC","Group"
"0-9","Female",7.5289,"Female"
"0-9","Male",7.5366,"Male"
"10-19","Female",26.9717,"Female"
"10-19","Male",32.9834,"Male"
"20-29","Female",48.676,"Female"
"20-29","Male",47.8756,"Male"
"30-39","Female",53.0338,"Female"
"30-39","Male",51.1108,"Male"
"40-49","Female",57.721,"Female"
"40-49","Male",53.7013,"Male"
"50-59","Female",48.8804,"Female"
"50-59","Male",51.1256,"Male"
"≥60","Female",33.6719,"Female"
"≥60","Male",45.4166,"Male"
