Epi_week,Category,OROV_cases
2016_22,Urban,0
2016_23,Rural,2
2016_23,Urban,2
2016_24,Rural,0
2016_24,Urban,0
2016_25,Rural,1
2016_25,Urban,4
2016_26,Rural,0
2016_26,Urban,0
2016_27,Rural,0
2016_27,Urban,1
2016_28,Rural,0
2016_28,Urban,0
2016_29,Rural,0
2016_29,Urban,1
2016_30,Rural,17
2016_30,Urban,0
2016_31,Rural,0
2016_31,Urban,0
2016_32,Rural,1
2016_32,Urban,0
2016_33,Rural,1
2016_33,Urban,7
2016_34,Rural,3
2016_34,Urban,0
2016_35,Rural,2
2016_35,Urban,1
2016_36,Rural,0
2016_36,Urban,1
2016_37,Rural,0
2016_37,Urban,1
2016_38,Rural,0
2016_38,Urban,3
2016_39,Rural,0
2016_39,Urban,1
2016_40,Rural,0
2016_40,Urban,1
2016_41,Rural,0
2016_41,Urban,0
2016_42,Rural,0
2016_42,Urban,0
2016_43,Rural,0
2016_43,Urban,0
2016_44,Rural,0
2016_44,Urban,1
2016_45,Rural,0
2016_45,Urban,0
2016_46,Rural,0
2016_46,Urban,0
2016_47,Rural,0
2016_47,Urban,2
2016_48,Rural,0
2016_48,Urban,1
2016_49,Rural,0
2016_49,Urban,0
2016_50,Rural,0
2016_50,Urban,0
2016_51,Rural,0
2016_51,Urban,0
2016_52,Rural,0
2016_52,Urban,0
2017_01,Rural,0
2017_01,Urban,0
2017_02,Rural,0
2017_02,Urban,2
2017_03,Rural,0
2017_03,Urban,1
2017_04,Rural,0
2017_04,Urban,0
2017_05,Rural,0
2017_05,Urban,0
2017_06,Rural,0
2017_06,Urban,0
2017_07,Rural,0
2017_07,Urban,0
2017_08,Rural,0
2017_08,Urban,1
2017_09,Rural,0
2017_09,Urban,0
2017_10,Rural,1
2017_10,Urban,0
2017_11,Rural,0
2017_11,Urban,0
2017_12,Rural,0
2017_12,Urban,0
2017_13,Rural,0
2017_13,Urban,0
2017_14,Rural,0
2017_14,Urban,0
2017_15,Rural,0
2017_15,Urban,0
2017_16,Rural,0
2017_16,Urban,1
2017_17,Rural,0
2017_17,Urban,0
2017_18,Rural,0
2017_18,Urban,0
2017_19,Rural,0
2017_19,Urban,0
2017_20,Rural,0
2017_20,Urban,0
2017_21,Rural,0
2017_21,Urban,0
2017_22,Rural,0
2017_22,Urban,0
2017_23,Rural,0
2017_23,Urban,0
2017_24,Rural,0
2017_24,Urban,0
2017_25,Rural,0
2017_25,Urban,1
2017_26,Rural,0
2017_26,Urban,0
2017_27,Rural,0
2017_27,Urban,0
2017_28,Rural,0
2017_28,Urban,1
2017_29,Rural,0
2017_29,Urban,0
2017_30,Rural,0
2017_30,Urban,0
2017_31,Rural,0
2017_31,Urban,0
2017_32,Rural,0
2017_32,Urban,0
2017_33,Rural,0
2017_33,Urban,0
2017_34,Rural,0
2017_34,Urban,0
2017_35,Rural,0
2017_35,Urban,1
2017_36,Rural,0
2017_36,Urban,0
2017_37,Rural,0
2017_37,Urban,0
2017_38,Rural,0
2017_38,Urban,0
2017_39,Rural,0
2017_39,Urban,0
2017_40,Rural,0
2017_40,Urban,0
2017_41,Rural,0
2017_41,Urban,0
2017_42,Rural,0
2017_42,Urban,0
2017_43,Rural,0
2017_43,Urban,0
2017_44,Rural,0
2017_44,Urban,0
2017_45,Rural,0
2017_45,Urban,0
2017_46,Rural,0
2017_46,Urban,0
2017_47,Rural,0
2017_47,Urban,0
2017_48,Rural,0
2017_48,Urban,0
2017_49,Rural,0
2017_49,Urban,0
2017_50,Rural,0
2017_50,Urban,2
2017_51,Rural,0
2017_51,Urban,0
2017_52,Rural,0
2017_52,Urban,0
2018_01,Rural,0
2018_01,Urban,0
2018_02,Rural,0
2018_02,Urban,1
2018_03,Rural,1
2018_03,Urban,0
2018_04,Rural,9
2018_04,Urban,0
2018_05,Rural,8
2018_05,Urban,4
2018_06,Rural,15
2018_06,Urban,7
2018_07,Rural,8
2018_07,Urban,9
2018_08,Rural,15
2018_08,Urban,9
2018_09,Rural,17
2018_09,Urban,3
2018_10,Rural,1
2018_10,Urban,9
2018_11,Rural,0
2018_11,Urban,5
2018_12,Rural,5
2018_12,Urban,7
2018_13,Rural,3
2018_13,Urban,5
2018_14,Rural,5
2018_14,Urban,7
2018_15,Rural,11
2018_15,Urban,10
2018_16,Rural,9
2018_16,Urban,13
2018_17,Rural,8
2018_17,Urban,14
2018_18,Rural,5
2018_18,Urban,6
2018_19,Rural,5
2018_19,Urban,5
2018_20,Rural,2
